0,43,transition : prérequis,#ffde00
43,223,prérequis 1,#ffde00
266,23,transition : hypothèses,#ffa200
289,253,hypothèse 1,#ffa200
542,113,hypothèse 2,#ffa200
655,42,transition : protocole,#f30279
697,13,planification,#f30279
710,75,nombre de boîtes,#f30279
785,160,comptage,#f30279
945,667,densité cellulaire,#f30279
1612,124,taille des boîtes,#f30279
1736,638,ensemencement,#f30279
2374,9,transition : expérience,#0028D5
2383,24,transition : résultats,#aa00d5
2407,97,comptages,#aa00d5
2504,88,correction courbe croissance,#aa00d5
2592,56,proportion des phases,#aa00d5
2648,37,correction des durées,#aa00d5
2685,7,transition : synthèse,#0028d5
2692,184,synthèse,#0028d5
