0,16,transition : prérequis,#ffde00
16,499,prérequis 1,#ffde00
515,30,transition : hypothèses,#ffa200
545,148,hypothèse 1,#ffa200
693,207,hypothèse 2,#ffa200
900,56,transition : protocole,#f30279
956,38,planification,#f30279
994,60,nombre de boîtes,#f30279
1054,229,comptage,#f30279
1283,328,densité cellulaire,#f30279
1611,118,taille des boîtes,#f30279
1729,1046,ensemencement,#f30279
2775,6,transition : expérience,#0028D5
2781,15,transition : résultats,#aa00d5
2796,56,comptages,#aa00d5
2852,58,correction courbe croissance,#aa00d5
2910,82,proportion des phases,#aa00d5
2992,8,correction des durées,#aa00d5
3000,8,transition : synthèse,#0028d5
3008,158,synthèse,#0028d5
