0,26,transition : prérequis,#ffde00
26,386,prérequis 1,#ffde00
412,95,transition : hypothèses,#ffa200
507,110,hypothèse 1,#ffa200
617,161,hypothèse 2,#ffa200
778,50,transition : protocole,#f30279
828,25,planification,#f30279
853,74,nombre de boîtes,#f30279
927,358,comptage,#f30279
1285,411,densité cellulaire,#f30279
1696,37,taille des boîtes,#f30279
1733,1004,ensemencement,#f30279
2737,6,transition : expérience,#0028D5
2743,82,transition : résultats,#aa00d5
2825,537,comptages,#aa00d5
3362,151,correction courbe croissance,#aa00d5
3513,28,proportion des phases,#aa00d5
3541,30,correction des durées,#aa00d5
3571,7,transition : synthèse,#0028d5
3578,217,synthèse,#0028d5
