0,13,transition : prérequis,#ffde00
13,497,prérequis 1,#ffde00
510,38,transition : hypothèses,#ffa200
548,175,hypothèse 1,#ffa200
723,137,hypothèse 2,#ffa200
860,45,transition : protocole,#f30279
905,16,planification,#f30279
921,48,nombre de boîtes,#f30279
969,269,comptage,#f30279
1238,278,densité cellulaire,#f30279
1516,7,taille des boîtes,#f30279
1523,1071,ensemencement,#f30279
2594,6,transition : expérience,#0028D5
2600,33,transition : résultats,#aa00d5
2633,127,comptages,#aa00d5
2760,165,correction courbe croissance,#aa00d5
2925,35,proportion des phases,#aa00d5
2960,40,correction des durées,#aa00d5
3000,5,transition : synthèse,#0028d5
3005,196,synthèse,#0028d5
