0,19,transition : prérequis,#ffde00
19,190,prérequis 1,#ffde00
209,50,transition : hypothèses,#ffa200
259,108,hypothèse 1,#ffa200
367,195,hypothèse 2,#ffa200
562,27,transition : protocole,#f30279
589,20,planification,#f30279
609,50,nombre de boîtes,#f30279
659,205,comptage,#f30279
864,535,densité cellulaire,#f30279
1399,20,taille des boîtes,#f30279
1419,1211,ensemencement,#f30279
2630,4,transition : expérience,#0028D5
2634,9,transition : résultats,#aa00d5
2643,35,comptages,#aa00d5
2678,51,correction courbe croissance,#aa00d5
2729,39,proportion des phases,#aa00d5
2768,46,correction des durées,#aa00d5
2814,4,transition : synthèse,#0028d5
2818,133,synthèse,#0028d5
