0,42,transition : prérequis,#ffde00
42,243,prérequis 1,#ffde00
285,6,transition : hypothèses,#ffa200
291,120,hypothèse 1,#ffa200
411,136,hypothèse 2,#ffa200
547,39,transition : protocole,#f30279
586,11,planification,#f30279
597,176,nombre de boîtes,#f30279
773,187,comptage,#f30279
960,341,densité cellulaire,#f30279
1301,6,taille des boîtes,#f30279
1307,1117,ensemencement,#f30279
2424,3,transition : expérience,#0028D5
2427,15,transition : résultats,#aa00d5
2442,86,comptages,#aa00d5
2528,53,correction courbe croissance,#aa00d5
2581,69,proportion des phases,#aa00d5
2650,171,correction des durées,#aa00d5
2821,2,transition : synthèse,#0028d5
2823,139,synthèse,#0028d5
