0,19,transition : prérequis,#ffde00
19,253,prérequis 1,#ffde00
272,18,transition : hypothèses,#ffa200
290,252,hypothèse 1,#ffa200
542,103,hypothèse 2,#ffa200
645,51,transition : protocole,#f30279
696,14,planification,#f30279
710,14,nombre de boîtes,#f30279
724,243,comptage,#f30279
967,658,densité cellulaire,#f30279
1625,4,taille des boîtes,#f30279
1629,750,ensemencement,#f30279
2379,8,transition : expérience,#0028D5
2387,10,transition : résultats,#aa00d5
2397,122,comptages,#aa00d5
2519,54,correction courbe croissance,#aa00d5
2573,75,proportion des phases,#aa00d5
2648,45,correction des durées,#aa00d5
2693,3,transition : synthèse,#0028d5
2696,182,synthèse,#0028d5
