0,92,transition : prérequis,#ffde00
92,370,prérequis 1,#ffde00
462,58,transition : hypothèses,#ffa200
520,91,hypothèse 1,#ffa200
611,169,hypothèse 2,#ffa200
780,72,transition : protocole,#f30279
852,34,planification,#f30279
886,75,nombre de boîtes,#f30279
961,186,comptage,#f30279
1147,708,densité cellulaire,#f30279
1855,223,taille des boîtes,#f30279
2078,912,ensemencement,#f30279
2990,20,transition : expérience,#0028D5
3010,16,transition : résultats,#aa00d5
3026,101,comptages,#aa00d5
3127,33,correction courbe croissance,#aa00d5
3160,58,proportion des phases,#aa00d5
3218,69,correction des durées,#aa00d5
3287,55,transition : synthèse,#0028d5
3342,155,synthèse,#0028d5
