0,37,transition : prérequis,#ffde00
37,472,prérequis 1,#ffde00
509,30,transition : hypothèses,#ffa200
539,181,hypothèse 1,#ffa200
720,289,hypothèse 2,#ffa200
1009,41,transition : protocole,#f30279
1050,43,planification,#f30279
1093,56,nombre de boîtes,#f30279
1149,95,comptage,#f30279
1244,435,densité cellulaire,#f30279
1679,93,taille des boîtes,#f30279
1772,1015,ensemencement,#f30279
2787,4,transition : expérience,#0028D5
2791,40,transition : résultats,#aa00d5
2831,100,comptages,#aa00d5
2931,65,correction courbe croissance,#aa00d5
2996,73,proportion des phases,#aa00d5
3069,45,correction des durées,#aa00d5
3114,5,transition : synthèse,#0028d5
3119,136,synthèse,#0028d5
