0,27,transition : prérequis,#ffde00
27,240,prérequis 1,#ffde00
267,167,transition : hypothèses,#ffa200
434,80,hypothèse 1,#ffa200
514,135,hypothèse 2,#ffa200
649,96,transition : protocole,#f30279
745,35,planification,#f30279
780,103,nombre de boîtes,#f30279
883,380,comptage,#f30279
1263,237,densité cellulaire,#f30279
1500,241,taille des boîtes,#f30279
1741,725,ensemencement,#f30279
2466,9,transition : expérience,#0028D5
2475,82,transition : résultats,#aa00d5
2557,154,comptages,#aa00d5
2711,199,correction courbe croissance,#aa00d5
2910,64,proportion des phases,#aa00d5
2974,104,correction des durées,#aa00d5
3078,3,transition : synthèse,#0028d5
3081,141,synthèse,#0028d5
