0,32,transition : prérequis,#ffde00
32,178,prérequis 1,#ffde00
210,55,transition : hypothèses,#ffa200
265,122,hypothèse 1,#ffa200
387,178,hypothèse 2,#ffa200
565,38,transition : protocole,#f30279
603,39,planification,#f30279
642,33,nombre de boîtes,#f30279
675,194,comptage,#f30279
869,529,densité cellulaire,#f30279
1398,23,taille des boîtes,#f30279
1421,953,ensemencement,#f30279
2374,7,transition : expérience,#0028D5
2381,25,transition : résultats,#aa00d5
2406,230,comptages,#aa00d5
2636,176,correction courbe croissance,#aa00d5
2812,49,proportion des phases,#aa00d5
2861,69,correction des durées,#aa00d5
2930,4,transition : synthèse,#0028d5
2934,194,synthèse,#0028d5
