0,59,transition : prérequis,#ffde00
59,388,prérequis 1,#ffde00
447,31,transition : hypothèses,#ffa200
478,256,hypothèse 1,#ffa200
734,132,hypothèse 2,#ffa200
866,44,transition : protocole,#f30279
910,18,planification,#f30279
928,10,nombre de boîtes,#f30279
938,248,comptage,#f30279
1186,333,densité cellulaire,#f30279
1519,19,taille des boîtes,#f30279
1538,1050,ensemencement,#f30279
2588,15,transition : expérience,#0028D5
2603,38,transition : résultats,#aa00d5
2641,71,comptages,#aa00d5
2712,46,correction courbe croissance,#aa00d5
2758,92,proportion des phases,#aa00d5
2850,111,correction des durées,#aa00d5
2961,5,transition : synthèse,#0028d5
2966,3076,synthèse,#0028d5
