0,77,transition : prérequis,#ffde00
77,418,prérequis 1,#ffde00
495,33,transition : hypothèses,#ffa200
528,334,hypothèse 1,#ffa200
862,138,hypothèse 2,#ffa200
1000,58,transition : protocole,#f30279
1058,30,planification,#f30279
1088,60,nombre de boîtes,#f30279
1148,158,comptage,#f30279
1306,362,densité cellulaire,#f30279
1668,571,taille des boîtes,#f30279
2239,574,ensemencement,#f30279
2813,3,transition : expérience,#0028D5
2816,46,transition : résultats,#aa00d5
2862,61,comptages,#aa00d5
2923,64,correction courbe croissance,#aa00d5
2987,33,proportion des phases,#aa00d5
3020,85,correction des durées,#aa00d5
3105,4,transition : synthèse,#0028d5
3109,128,synthèse,#0028d5
