0,12,transition : prérequis,#ffde00
12,237,prérequis 1,#ffde00
249,68,transition : hypothèses,#ffa200
317,116,hypothèse 1,#ffa200
433,156,hypothèse 2,#ffa200
589,145,transition : protocole,#f30279
734,22,planification,#f30279
756,60,nombre de boîtes,#f30279
816,272,comptage,#f30279
1088,339,densité cellulaire,#f30279
1427,43,taille des boîtes,#f30279
1470,902,ensemencement,#f30279
2372,9,transition : expérience,#0028D5
2381,4,transition : résultats,#aa00d5
2385,266,comptages,#aa00d5
2651,159,correction courbe croissance,#aa00d5
2810,85,proportion des phases,#aa00d5
2895,80,correction des durées,#aa00d5
2975,2,transition : synthèse,#0028d5
2977,192,synthèse,#0028d5
